index,kind,queries,precision,recall,f1
lemmatized,boolean,15,0.8679,0.9759,0.9073
lemmatized,morphological,7,0.9725,0.6556,0.7291
lemmatized,negation,3,0.895,0.9554,0.9202
lemmatized,simple,8,0.9563,0.9652,0.9599
normalized,boolean,15,1.0,0.9759,0.9873
normalized,morphological,7,1.0,0.5137,0.6319
normalized,negation,3,1.0,0.9867,0.9933
normalized,simple,8,1.0,0.9624,0.9789
nostop,boolean,15,1.0,0.9759,0.9873
nostop,morphological,7,1.0,0.5137,0.6319
nostop,negation,3,1.0,0.9867,0.9933
nostop,simple,8,1.0,0.9624,0.9789
raw,boolean,15,0.8,0.6304,0.6767
raw,morphological,7,1.0,0.5009,0.6222
raw,negation,3,0.9966,0.71,0.8138
raw,simple,8,0.75,0.73,0.7398
stemmed,boolean,15,0.8414,0.9759,0.8909
stemmed,morphological,7,1.0,0.8993,0.9379
stemmed,negation,3,0.8609,0.953,0.9017
stemmed,simple,8,0.9485,0.9669,0.9566
